code,common_name,order_,suborder,family,genus,species,yoy_length
ARGO,Arrow Goby,Perciformes,Gobioidei,Gobiidae,Clevelandia,ios,NA
BAGO,Bay Goby,Perciformes,Gobioidei,Gobiidae,Lepidogobius,lepidus,NA
BAPI,Bay Pipefish,Gasterosteiformes,Syngnathoidei,Syngnathidae,Syngnathus,leptorhynchus,NA
BLGO,Blackeye Goby,Perciformes,Gobioidei,Gobiidae,Rhinogobiops,nicholsii,NA
BLPR,Black Prickleback,Perciformes,Zoarcoidei,Stichaeidae,Xiphister,atropurpureus,NA
BLRO,Black Rockfish,Scorpaeniformes,Scorpaenoidei,Scorpaenidae,Sebastes,melanops,70
BOCC,Bocaccio,Scorpaeniformes,Scorpaenoidei,Scorpaenidae,Sebastes,paucispinus,NA
BRIL,Brown Irish Lord,Scorpaeniformes,Cottoidei,Cottidae,Hemilepidotus,spinosus,NA
BRRO,Brown Rockfish,Scorpaeniformes,Scorpaenoidei,Scorpaenidae,Sebastes,auriculatus,NA
BURO,Blue Rockfish,Scorpaeniformes,Scorpaenoidei,Scorpaenidae,Sebastes,mystinus,NA
BUSC,Buffalo Sculpin,Scorpaeniformes,Cottoidei,Cottidae,Enophrys,bison,NA
CABE,Cabezon,Scorpaeniformes,Cottoidei,Cottidae,Scorpaenichthys,marmoratus,NA
CARO,Canary Rockfish,Scorpaeniformes,Scorpaenoidei,Scorpaenidae,Sebastes,pinniger,NA
CASC,Calico Sculpin,Scorpaeniformes,Cottoidei,Cottidae,Clinocottus,embryum,NA
CHIN,Chinook Salmon,Salmoniformes,Salmonoidei,Salmonidae,Oncorhynchus,tshawytscha,NA
CHRO,China Rockfish,Scorpaeniformes,Scorpaenoidei,Scorpaenidae,Sebastes,nebulosus,NA
CHUM,Chum Salmon,Salmoniformes,Salmonoidei,Salmonidae,Oncorhynchus,keta,NA
COHO,Coho Salmon,Salmoniformes,Salmonoidei,Salmonidae,Oncorhynchus,kisutch,NA
CORO,Copper Rockfish,Scorpaeniformes,Scorpaenoidei,Scorpaenidae,Sebastes,caurinus,50
COSO,C-O Sole,Pleuronectiformes,Pleuronectoidei,Pleuronectidae,Pleuronichthys,coenosus,NA
CRGU,Crescent Gunnel,Perciformes,Zoarcoidei,Pholididae,Pholis,laeta,NA
CRKE,Crevice Kelpfish,Perciformes,Blennioidei,Clinidae,Gibbonsia,montereyensis,NA
CUTT,Cutthroat Trout,Salmoniformes,Salmonoidei,Salmonidae,Oncorhynchus,clarkii,NA
