species
Oncorhynchus nerka
Oncorhynchus gorbuscha
Porichthys notatus
Clupea pallasii
Hexagrammos decagrammus
Oncorhynchus keta
Brachyistius frenatus
Oncorhynchus kisutch
Gasterosteus aculeatus
Beringraja binoculata
Oncorhynchus tshawytscha
Nannobrachium regale
Xiphister atropurpureus
Amphistichus rhodoterus
Jordania zonope
Pholis laeta
Merluccius productus
Myoxocephalus polyacanthocephalus
Enophrys bison
Artedius lateralis
Mola mola
Gadus macrocephalus
Anoplarchus purpurescens
Engraulis mordax
Ammodytes hexapterus
Cymatogaster aggregata
Tarletonbeania crenularis
Leptocottus armatus
Lepidopsetta bilineata
Sebastes nigrocinctus
Ophiodon elongatus
Oxylebius pictus
Ammodytes personatus
Gadus chalcogrammus
Microstomus pacificus
Syngnathus leptorhynchus
Beringraja stellulata
Anarrhichthys ocellatus
Sebastes pinniger
Dasycottus setiger
Lamna ditropis
Amphistichus koelzi
Oligocottus maculosus
Sebastes maliger
Gobiesox maeandricus
Paralichthys californicus
Rhamphocottus richardsonii
Alosa sapidissima
Zaprora silenus
Leuroglossus schmidti
Pholis ornata
Embiotoca lateralis
Oncorhynchus mykiss
Oligocottus snyderi
Scorpaenichthys marmoratus
Tactostoma macropus
Chauliodus macouni
Oncorhynchus clarkii
Lestidiops ringens
Sebastes auriculatus
Platichthys stellatus
Glyptocephalus zachirus
Nautichthys oculofasciatus
Liparis mucosus
Sebastes caurinus
Genyonemus lineatus
Agonopsis vulsa
Sebastes elongatus
Balistes polylepis
Triakis semifasciata
Poroclinus rothrocki
Sebastes rufus
Clevelandia ios
Anoplopoma fimbria
Cyprinus carpio
Citharichthys stigmaeus
Sebastes paucispinis
Aptocyclus ventricosus
Sagamichthys abei
Trichodon trichodon
Citharichthys sordidus
Ronquilus jordani
Bothrocara brunneum
Sebastes rastrelliger
Sebastes flavidus
Liparis pulchellus
Rhinogobiops nicholsii
Clinocottus recalvus
Cyema atrum
Paraliparis rosaceus
Avocettina infans
Liparis gibbus
Radulinus asprellus
Lumpenus sagitta
Podothecus accipenserinus
Benthalbella dentata
Sebastes chlorostictus
Melamphaes lugubris
Apodichthys flavidus
Sebastes brevispinis
Parophrys vetulus
Eopsetta jordani
Lycodes palearis
Nemichthys larseni
Bathyagonus nigripinnis
Alepocephalus tenebrosus
Sebastolobus alascanus
Aristostomias scintillans
Coryphaenoides acrolepis
Allocyttus folletti
Lycodes diapterus
Enophrys diceraus
Sebastes diploproa
Diaphus theta
Bathyagonus pentacanthus
Raja rhina
Paraliparis cephalus
Hemilepidotus jordani
Sebastolobus altivelis
Sebastes alutus
Xiphister mucosus
Careproctus melanurus
Raja stellulata
Spirinchus starksi
Pleuronichthys decurrens
Lyopsetta exilis
Nautichthys pribilovius
Talismania bifurcata
Microgadus proximus
Sebastes goodei
Pseudobathylagus milleri
Cryptacanthodes giganteus
Xeneretmus latifrons
Sebastes zacentrus
Hippoglossoides robustus
Squalus suckleyi
Lycodes brevipes
Cyclothone atraria
Lipariscus nanus
Sebastes babcocki
Sebastes wilsoni
Isopsetta isolepis
Embassichthys bathybius
Zesticelus profundorum
Lampadena urophaos
Artedius fenestralis
Macropinna microstoma
Careproctus canus
Spirinchus thaleichthys
Sebastes ovalis
Sebastes proriger
Spectrunculus grandis
Sebastes rubrivinctus
Careproctus cypselurus
Chesnonia verrucosa
Sebastes ruberrimus
Lycodes pacificus
Lumpenella longirostris
Sebastes crameri
Albatrossia pectoralis
Sebastes melanostomus
Pleurogrammus monopterygius
Sebastes aleutianus
Barbourisia rufa
Pleuronichthys coenosus
Lycenchelys jordani
Kathetostoma averruncus
Aphanopus intermedius
Antimora microlepis
Sebastes serranoides
Triglops pingelii
Bathyraja trachura
Zaniolepis latipinnis
Lycodapus mandibularis
Kajikia audax
Icelinus filamentosus
Sebastes polyspinis
Sebastes semicinctus
Raja inornata
Sebastes saxicola
Trachurus symmetricus
Atheresthes stomias
Thaleichthys pacificus
Rhacochilus vacca
Prionace glauca
Hexagrammos stelleri
Artedius harringtoni
Carcharodon carcharias
Paraliparis pectoralis
Chaenophryne melanorhabdus
Hypomesus pretiosus
Liparis cyclopus
Symbolophorus californiensis
Chirolophis nugator
Bathylagus pacificus
Hemilepidotus hemilepidotus
Sebastes helvomaculatus
Trachipterus altivelis
Eumicrotremus orbis
Sebastes rosaceus
Sebastes carnatus
Sebastes mystinus
Anoplarchus insignis
Bothragonus swanii
Hemilepidotus spinosus
Sebastes chrysomelas
Salvelinus malma
Nannobrachium ritteri
Liparis dennyi
Hippoglossoides elassodon
Hippoglossus stenolepis
Ascelichthys rhodorus
Synchirus gilli
Malacocottus kincaidi
Gymnocanthus galeatus
Osmerus mordax
Odontopyxis trispinosa
Lycodapus pachysoma
Pachycara gymninium
Bathyagonus alascanus
Xeneretmus triacanthus
Sarritor leptorhynchus
Protomyctophum crockeri
Icosteus aenigmaticus
Sebastes melanops
Protomyctophum arcticum
Pachystomias microdon
Stenobrachius leucopsarus
Tetragonurus cuvieri
Soldatovia polyactocephala
Mallotus villosus
Lipolagus ochotensis
Morone saxatilis
Brosmophycis marginata
Chirolophis decoratus
Oligocottus rimensis
Atherinops affinis
Cebidichthys violaceus
Sebastes miniatus
Cololabis saira
Alopias vulpinus
Clinocottus globiceps
Sebastes nebulosus
Salmo salar
Poromitra crassiceps
Bathyraja aleutica
Nansenia candida
Lycodapus fierasfer
Protomyctophum thompsoni
Phytichthys chirus
Beringraja rhina
Nemichthys scolopaceus
Lepidogobius lepidus
Cyclothone signata
Liparis fucensis
Scomber japonicus
Psettichthys melanostictus
Hexanchus griseus
Careproctus colletti
Icichthys lockingtoni
Bathyraja interrupta
Sebastes reedi
Bathymaster caeruleofasciatus
Cyclothone acclinidens
Sebastes variabilis
Icelinus oculatus
Liparis callyodon
Icelinus borealis
Stenobrachius nannochir
Apodichthys fucorum
Ammodytes tobianus
Peprilus simillimus
Sebastes variegatus
Lycodapus dermatinus
Paraliparis dactylosus
Cryptacanthodes aleutensis
Bothrocara molle
Ruscarius meanyi
Sebastes jordani
Lycodapus parviceps
Sebastes levis
Anisarchus medius
Dicrolene filamentosa
Sardinops sagax
Paraliparis paucidens
Taractes asper
Lycodes cortezianus
Stegastes planifrons
Derepodichthys alepidotus
Aulorhynchus flavidus
Xeneretmus leiops
Icelinus tenuis
Icelinus fimbriatus
Apristurus brunneus
Cottus asper
Sebastes aurora
Atheresthes evermanni
Chitonotus pugetensis
Molva molva
Lepidopsetta polyxystra
Sebastes emphaeus
Nectoliparis pelagicus
Bathyagonus infraspinatus
Allosmerus elongatus
Psychrolutes paradoxus
Psychrolutes phrictus
Coryphaenoides cinereus
Pallasina barbata
Limanda aspera
Thalassenchelys coheni
Magnisudis atlantica
Anoplagonus inermis
Lycodes beringi
Careproctus gilberti
Ptilichthys goodei
Rhadinesthes decimus
Cottus aleuticus
Clidoderma asperrimum
Lycenchelys crotalinus
Triglops macellus
Antimora rostrata
Osteodiscus cascadiae
Symphurus atricaudus
Sebastes entomelas
Eurypharynx pelecanoides
Pholis schultzi
Clinocottus acuticeps
Arctozenus risso
Hyperprosopon ellipticum
Polypera greeni
Nezumia stelgidolepis
Bryozoichthys marjorius
Stylephorus chordatus
Elassodiscus caudatus
Cryptopsaras couesii
Paricelinus hopliticus
Sternoptyx obscura
Blepsias cirrhosus
Squalus acanthias
Caristius macropus
Hexagrammos lagocephalus
Lycenchelys paxillus
Sebastes borealis
Paraliparis operculosus
Psychrolutes sigalutes
Narcetes stomias
Liparis florae
Paraliparis mento
Aphanopus arigato
Rhinoliparis attenuatus
Rhincodon typus
Halargyreus johnsonii
Bathymaster signatus
Lycodapus endemoscotus
Myoxocephalus scorpius
Leptoclinus maculatus
Scopelengys tristis
Anoplogaster cornuta
Melanostigma pammelas
Mylocheilus caurinus
Oneirodes bulbosus
Coryphaenoides filifer
Rondeletia loricata
Venefica procera
Hemitripterus bolini
Bathyraja abyssicola
Somniosus pacificus
Paraliparis deani
Melanocetus johnsonii
Careproctus oregonensis
Malacocottus zonurus
Liparis rutteri
Opostomias mitsuii
Sarda lineolata
Bathophilus flemingi
Pentaceros wheeleri
Bathyraja lindbergi
Rouleina attrita
Icelinus burchami
Argentina sialis
Reinhardtius hippoglossoides
Blepsias bilobus
Careproctus filamentosus
Lepidopus fitchi
Poromitra curilensis
Serrivomer sector
Nansenia crassa
Sebastes ciliatus
Leuroglossus stilbius
Paraliparis latifrons
Asemichthys taylori
Pachycara lepinium
Enophrys lucasi
Careproctus microstomus
Acipenser sturio
Fundulus diaphanus
Chaenophryne longiceps
Stegastes partitus
Clinocottus embryum
Melanonus zugmayeri
Lycenchelys camchatica
Scytalina cerdale
Scopelosaurus adleri
Careproctus longifilis
Bathylychnops exilis
Chiasmodon niger
Coryphaenoides armatus
Plectroglyphidodon sindonis
Prosopium cylindraceum
Bajacalifornia erimoensis
Plectobranchus evides
Beringraja inornata
Hypsagonus quadricornis
Careproctus ovigerus
Diretmoides pauciradiatus
Amblyraja badia
Scopelosaurus harryi
Paraliparis ulochir
Phanerodon furcatus
Cetorhinus maximus
Lumpenus fabricii
Lycodapus leptus
Radulinus boleoides
Bathysaurus mollis
Stichaeus punctatus
Pleuronichthys verticalis
Lyconema barbatum
Epinephelus areolatus
Howella brodiei
Benthodesmus pacificus
Argyropelecus sladeni
Bajacalifornia megalops
Lutjanus fulvus
Hexagrammos octogrammus
Acantholumpenus mackayi
Malacocottus aleuticus
Careproctus rastrinus
Alepisaurus ferox
Merluccius bilinearis
Physiculus rastrelliger
Lamprogrammus niger
Coryphaenoides leptolepis
Aphareus rutilans
Triglops scepticus
Paraliparis megalopus
Bathylagoides wesethi
Paralabrax clathratus
Bathyraja parmifera
Sebastes diaconus
Lycenchelys micropora
Icelus spiniger
Acantholiparis opercularis
Bothrocara pusillum
Myoxocephalus jaok
Gymnocanthus pistilliger
Bassozetus elongatus
Liparis liparis
Anotopterus pharao
Artedius corallinus
Stellerina xyosterna
Ceratoscopelus townsendi
Brama japonica
Pentaceros richardsoni
Careproctus scottae
Argyropelecus lychnus
Rimicola muscarum
Hyperprosopon argenteum
Hyperprosopon anale
Parvilux ingens
Tetronarce californica
Chilara taylori
Acipenser medirostris
Notorynchus cepedianus
Micropterus salmoides
Ceratias holboelli
Artediellus pacificus
Triphoturus mexicanus
Syngnathus californiensis
Careproctus furcellus
Oneirodes thompsoni
Agonomalus mozinoi
Acipenser transmontanus
Thunnus alalunga
Sarritor frenatus
Mola tecta
Lepomis macrochirus
Pholis clemensi
Lucania parva
Gasterosteus microcephalus
Clupea harengus
Cottus gulosus
Lycenchelys pearcyi
Idiacanthus antrostomus
Careproctus spectrum
Sternoptyx diaphana
Ulvicola sanctaerosae
Anarhichas orientalis
Ameiurus nebulosus
Perca flavescens
Cyprinus rubrofuscus
Myoxocephalus stelleri
Ophichthus triserialis
Galeorhinus galeus
Poromitra cristiceps
Icelus spatula
Dallia pectoralis
Cataetyx rubrirostris
Erilepis zonifer
Pleuronectes quadrituberculatus
Gyrinomimus grahami
Careproctus georgianus
Nautichthys robustus
Anotopterus nikparini
Hemilepidotus zapus
Kali indica
Serrivomer jesperseni
Careproctus attenuatus
Notacanthus chemnitzii
Bassozetus zenkevitchi
Bathyraja violacea
Paraliparis melanobranchus
Triglops forficatus
Triglops jordani
Brama brama
Cottus rhotheus
Cottus perplexus
Catostomus macrocheilus
Leptochilichthys agassizii
Scopeloberyx robustus
Argyropelecus affinis
Sebastes fuscescens
Chauliodus sloani
Diodon hystrix
Atractoscion nobilis
Salvelinus fontinalis
Nezumia liolepis
Caulolatilus princeps
Sebastes melanostictus
Sphyraena argentea
Cyclothone microdon
Tarletonbeania taylori
Xenomystax atrarius
Leucoraja erinacea
Chaenophryne draco
Lycodes concolor
Eumicrotremus spinosus
Bathymaster leurolepis
Chirolophis tarsodes
Liparis adiastolus
Dorosoma cepedianum
Lycenchelys callista
Taranetzella lyoderma
Cyclothone pallida
Pristigenys serrula
Aphanopus carbo
Taaningichthys bathyphilus
Polyacanthonotus challengeri
Cyclothone pseudopallida
Notoscopelus resplendens
Bathylaco nigricans
Danaphos oculatus
Neonesthes capensis
Borostomias panamensis
Argyropelecus hemigymnus
Ichthyococcus elongatus
Dolopichthys danae
Paraliparis calidus
Benthodesmus simonyi
Echinorhinus cookei
Cetostoma regani
Rondeletia bicolor
Pseudupeneus grandisquamis
Howella sherborni
Alectis ciliaris
Lota lota
Bathyraja spinosissima
Carassius auratus
Leptacanthichthys gracilispinis
Bertella idiomorpha
Percopsis transmontana
Gigantactis gargantua
Coryphaena hippurus
Lepomis gibbosus
Gadus morhua
Paraplagusia bilineata
Lumpenopsis hypochroma
Chromobotia macracanthus
Osmerus eperlanus
Trichopodus leerii
Xiphias gladius
Seriphus politus
Kali kerberti
Cottus cognatus
Myoxocephalus scorpioides
Lumpenus lampretaeformis
Pteroplatytrygon violacea
Mentodus eubranchus
Cottus confusus
Ptychocheilus oregonensis
Ellochelon vaigiensis
Microstoma microstoma
Triglops metopias
Lethotremus muticus
Oneirodes acanthias
