name,value
1,Oncorhynchus nerka
2,Oncorhynchus gorbuscha
3,Porichthys notatus
4,Clupea pallasii
5,Hexagrammos decagrammus
6,Oncorhynchus keta
7,Brachyistius frenatus
8,Oncorhynchus kisutch
9,Gasterosteus aculeatus
10,Beringraja binoculata
11,Oncorhynchus tshawytscha
12,Nannobrachium regale
13,Xiphister atropurpureus
14,Amphistichus rhodoterus
15,Jordania zonope
16,Pholis laeta
17,Merluccius productus
18,Myoxocephalus polyacanthocephalus
19,Enophrys bison
20,Artedius lateralis
21,Mola mola
22,Gadus macrocephalus
23,Anoplarchus purpurescens
24,Engraulis mordax
25,Ammodytes hexapterus
26,Cymatogaster aggregata
27,Tarletonbeania crenularis
28,Leptocottus armatus
29,Lepidopsetta bilineata
30,Sebastes nigrocinctus
31,Ophiodon elongatus
32,Oxylebius pictus
33,Ammodytes personatus
34,Gadus chalcogrammus
35,Microstomus pacificus
36,Syngnathus leptorhynchus
37,Beringraja stellulata
38,Anarrhichthys ocellatus
39,Sebastes pinniger
40,Dasycottus setiger
41,Lamna ditropis
42,Amphistichus koelzi
43,Oligocottus maculosus
44,Sebastes maliger
45,Gobiesox maeandricus
46,Paralichthys californicus
47,Rhamphocottus richardsonii
48,Alosa sapidissima
49,Zaprora silenus
50,Leuroglossus schmidti
51,Pholis ornata
52,Embiotoca lateralis
53,Oncorhynchus mykiss
54,Oligocottus snyderi
55,Scorpaenichthys marmoratus
56,Tactostoma macropus
57,Chauliodus macouni
58,Oncorhynchus clarkii
59,Lestidiops ringens
60,Sebastes auriculatus
61,Platichthys stellatus
62,Glyptocephalus zachirus
63,Nautichthys oculofasciatus
64,Liparis mucosus
65,Sebastes caurinus
66,Genyonemus lineatus
67,Agonopsis vulsa
68,Sebastes elongatus
69,Balistes polylepis
70,Triakis semifasciata
71,Poroclinus rothrocki
72,Sebastes rufus
73,Clevelandia ios
74,Anoplopoma fimbria
75,Cyprinus carpio
76,Citharichthys stigmaeus
77,Sebastes paucispinis
78,Aptocyclus ventricosus
79,Sagamichthys abei
80,Trichodon trichodon
81,Citharichthys sordidus
82,Ronquilus jordani
83,Bothrocara brunneum
84,Sebastes rastrelliger
85,Sebastes flavidus
86,Liparis pulchellus
87,Rhinogobiops nicholsii
88,Clinocottus recalvus
89,Cyema atrum
90,Paraliparis rosaceus
91,Avocettina infans
92,Liparis gibbus
93,Radulinus asprellus
94,Lumpenus sagitta
95,Podothecus accipenserinus
96,Benthalbella dentata
97,Sebastes chlorostictus
98,Melamphaes lugubris
99,Apodichthys flavidus
100,Sebastes brevispinis
101,Parophrys vetulus
102,Eopsetta jordani
103,Lycodes palearis
104,Nemichthys larseni
105,Bathyagonus nigripinnis
106,Alepocephalus tenebrosus
107,Sebastolobus alascanus
108,Aristostomias scintillans
109,Coryphaenoides acrolepis
110,Allocyttus folletti
111,Lycodes diapterus
112,Enophrys diceraus
113,Sebastes diploproa
114,Diaphus theta
115,Bathyagonus pentacanthus
116,Raja rhina
117,Paraliparis cephalus
118,Hemilepidotus jordani
119,Sebastolobus altivelis
120,Sebastes alutus
121,Xiphister mucosus
122,Careproctus melanurus
123,Raja stellulata
124,Spirinchus starksi
125,Pleuronichthys decurrens
126,Lyopsetta exilis
127,Nautichthys pribilovius
128,Talismania bifurcata
129,Microgadus proximus
130,Sebastes goodei
131,Pseudobathylagus milleri
132,Cryptacanthodes giganteus
133,Xeneretmus latifrons
134,Sebastes zacentrus
135,Hippoglossoides robustus
136,Squalus suckleyi
137,Lycodes brevipes
138,Cyclothone atraria
139,Lipariscus nanus
140,Sebastes babcocki
141,Sebastes wilsoni
142,Isopsetta isolepis
143,Embassichthys bathybius
144,Zesticelus profundorum
145,Lampadena urophaos
146,Artedius fenestralis
147,Macropinna microstoma
148,Careproctus canus
149,Spirinchus thaleichthys
150,Sebastes ovalis
151,Sebastes proriger
152,Spectrunculus grandis
153,Sebastes rubrivinctus
154,Careproctus cypselurus
155,Chesnonia verrucosa
156,Sebastes ruberrimus
157,Lycodes pacificus
158,Lumpenella longirostris
159,Sebastes crameri
160,Albatrossia pectoralis
161,Sebastes melanostomus
162,Pleurogrammus monopterygius
163,Sebastes aleutianus
164,Barbourisia rufa
165,Pleuronichthys coenosus
166,Lycenchelys jordani
167,Kathetostoma averruncus
168,Aphanopus intermedius
