Species,Genus,Subfamily,Family,Order,Class,SuperClass,FAO,Status
Acantholiparis caecus,Acantholiparis,NA,Liparidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",endemic
Acantholiparis opercularis,Acantholiparis,NA,Liparidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",endemic
Acantholumpenus mackayi,Acantholumpenus,NA,Lumpenidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Acanthonus armatus,Acanthonus,Neobythitinae,Ophidiidae,Ophidiiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Acanthopsetta nadeshnyi,Acanthopsetta,Pleuronectinae,Pleuronectidae,Pleuronectiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Acipenser medirostris,Acipenser,Acipenserinae,Acipenseridae,Acipenseriformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Acipenser transmontanus,Acipenser,Acipenserinae,Acipenseridae,Acipenseriformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Agonomalus mozinoi,Agonomalus,Hypsagoninae,Agonidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Agonopsis vulsa,Agonopsis,Agoninae,Agonidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Albatrossia pectoralis,Albatrossia,NA,Macrouridae,Gadiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Alectrias alectrolophus,Alectrias,Alectriinae,Stichaeidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Alectridium aurantiacum,Alectridium,Xiphisterinae,Stichaeidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Alepisaurus ferox,Alepisaurus,NA,Alepisauridae,Aulopiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Alepocephalus tenebrosus,Alepocephalus,NA,Alepocephalidae,Alepocephaliformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Allocareproctus jordani,Allocareproctus,NA,Liparidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Allocareproctus kallaion,Allocareproctus,NA,Liparidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",endemic
Allocareproctus tanix,Allocareproctus,NA,Liparidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Allocareproctus unangas,Allocareproctus,NA,Liparidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Allocareproctus ungak,Allocareproctus,NA,Liparidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",endemic
Allocyttus folletti,Allocyttus,Oreosomatinae,Oreosomatidae,Zeiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Allosmerus elongatus,Allosmerus,NA,Osmeridae,Osmeriformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Alopias superciliosus,Alopias,NA,Alopiidae,Lamniformes,Elasmobranchii,Chondrichthyes,"Pacific, Northeast",native
Alopias vulpinus,Alopias,NA,Alopiidae,Lamniformes,Elasmobranchii,Chondrichthyes,"Pacific, Northeast",native
Alosa sapidissima,Alosa,Alosinae,Clupeidae,Clupeiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",introduced
Amblyraja badia,Amblyraja,NA,Rajidae,Rajiformes,Elasmobranchii,Chondrichthyes,"Pacific, Northeast",questionable
