species
Oncorhynchus nerka
Ophiomusa lymani
Evasterias troschelii
Oncorhynchus keta
Oncorhynchus gorbuscha
Ophiuroglypha irrorata
Dendraster excentricus
Paraeuchaeta elongata
Clupea pallasii
Pseudostichopus elegans
Harfordia harfordii
Harmothoe multisetosa
Sebastes alutus
Themisto pacifica
Amphipholis pugetana
Pseudocalanus newmani
Corynosoma strumosum
Heterophoxus oculatus
Icosteus aenigmaticus
Scalibregma inflatum
Haplostomella distincta
Primnoa pacifica
Megaptera novaeangliae
Pasiphaea magna
Serpula vermicularis
Thysanoessa longipes
Heterozonias alternatus
Oncorhynchus kisutch
Gasterosteus aculeatus
Telmessus cheiragonus
Atheresthes stomias
Thracia trapezoides
Alvania compacta
Limnodriloides monothecus
Hexagrammos decagrammus
Phocoena phocoena
Harmothoe imbricata
Hyperia medusarum
Metacarcinus gracilis
Paguristes turgidus
Heterochone calyx
Munidopsis scabra
Callorhinus ursinus
Leptasterias aequalis
Lumpenus sagitta
Ophiopholis kennerlyi
Myxicola infundibulum
Scoletoma zonata
Beringraja binoculata
Pentidotea wosnesenskii
Harbansus mayeri
Phoca vitulina
Echinorhynchus gadi
Oncorhynchus tshawytscha
Henricia leviuscula
Nippoleucon hinumensis
Nannobrachium regale
Ophiolimna bairdi
Ditrichocorycaeus anglicus
Orthasterias koehleri
Alosa sapidissima
Echinoderes kozloffi
Gaetanus minutus
Serpula columbiana
Acartia (Acartiura) longiremis
Genostoma kozloffi
Primno abyssalis
Strongylocentrotus droebachiensis
Boreotrophon clathratus
Oithona setigera
Calocarides quinqueseriatus
Centropages abdominalis
Glebocarcinus oregonensis
Sunamphitoe lindbergi
Desmophyllum pertusum
Scolecithricella minor
Anoplarchus purpurescens
Condyloderes shirleyi
Ennucula tenuis
Leptasterias hexactis
Diastylopsis dawsoni
Haliotis kamtschatkana
Glyptocephalus zachirus
Sebastes saxicola
Balanophyllia (Balanophyllia) elegans
Liponema brevicorne
Aegina citrea
Ophiocten hastatum
Halipteris californica
Phocoenoides dalli
Careproctus longifilis
Nootkadrilus hamatus
Anoplopoma fimbria
Nootkadrilus compressus
Microstomus pacificus
Nearchaster aciculosus
Discoconchoecia elegans
Kinorhynchus cataphractus
Florometra serratissima
Squalus acanthias
Lepeophtheirus salmonis
Munida quadrispina
Axinopsida serricata
Onuphis elegans
Enteroctopus dofleini
Pholoides asperus
Berryteuthis anonychus
Eucalanus bungii
