"","species","ednafish","mifishlist","npfish","hakaiseinefish"
"1","Cymatogaster aggregata",1,1,1,1
"2","Aulorhynchus flavidus",1,1,1,1
"3","Citharichthys sordidus",1,0,1,1
"4","Scorpaenichthys marmoratus",1,0,1,1
"5","Platichthys stellatus",1,1,1,1
"6","Hypomesus pretiosus",1,0,1,1
"7","Oncorhynchus nerka",1,1,1,1
"8","Oncorhynchus kisutch",1,1,1,1
"9","Oncorhynchus gorbuscha",1,1,1,1
"10","Leptocottus armatus",1,0,1,1
"11","Salvelinus malma",1,1,1,1
"12","Syngnathus leptorhynchus",1,0,1,1
"13","Clupea pallasii",1,1,1,1
"14","Gasterosteus aculeatus",1,1,1,1
"15","Apodichthys flavidus",1,0,1,1
"16","Oligocottus maculosus",1,0,1,1
"17","Hexagrammos decagrammus",1,0,1,1
"18","Enophrys bison",1,0,1,1
"19","Hemilepidotus hemilepidotus",1,0,1,1
"20","Pleuronichthys coenosus",1,0,1,1
"21","Blepsias cirrhosus",1,0,1,1
"22","Clinocottus acuticeps",1,0,1,1
"23","Synchirus gilli",1,0,1,1
"24","Sebastes caurinus",1,0,1,1
"25","Artedius lateralis",1,0,1,1
"26","Embiotoca lateralis",1,0,1,1
"27","Ophiodon elongatus",1,1,1,1
"28","Gobiesox maeandricus",1,0,1,1
"29","Pholis laeta",1,0,1,1
"30","Brachyistius frenatus",1,0,1,1
"31","Liparis mucosus",1,0,1,1
"32","Artedius fenestralis",1,0,1,1
"33","Artedius harringtoni",1,0,1,1
"34","Oxylebius pictus",1,0,1,1
"35","Gibbonsia montereyensis",1,0,1,1
"36","Orthonopias triacis",1,0,1,1
"37","Anoplarchus purpurescens",1,0,1,1
"38","Trichodon trichodon",1,0,1,1
"39","Ascelichthys rhodorus",1,0,1,1
"40","Nautichthys oculofasciatus",1,0,1,1
"41","Lepidopsetta bilineata",1,0,1,1
"42","Chitonotus pugetensis",1,0,1,1
"43","Microgadus proximus",1,0,1,1
"44","Lepidogobius lepidus",1,0,1,1
"45","Clevelandia ios",1,0,1,1
"46","Cottus asper",1,1,1,1
"47","Rhacochilus vacca",1,0,1,1
"48","Engraulis mordax",1,1,1,1
"49","Lumpenus sagitta",1,0,1,1
"50","Citharichthys stigmaeus",1,0,1,1
"51","Sebastes paucispinis",1,0,1,1
"52","Oncorhynchus tshawytscha",1,1,1,1
"53","Gadus chalcogrammus",1,1,1,1
"54","Gadus macrocephalus",1,1,1,1
"55","Odontopyxis trispinosa",1,0,1,1
"56","Oncorhynchus keta",1,1,1,1
"57","Jordania zonope",1,0,1,1
"58","Oncorhynchus mykiss",1,1,1,1
"59","Liparis cyclopus",1,0,1,1
"60","Ammodytes hexapterus",0,1,1,1
"61","Amphistichus rhodoterus",0,0,1,1
"62","Anoplarchus insignis",0,0,1,1
"63","Beringraja binoculata",0,0,1,1
"64","Cololabis saira",0,1,1,1
"65","Gibbonsia metzi",0,0,1,1
"66","Hexagrammos lagocephalus",0,1,1,1
"67","Hexagrammos stelleri",0,0,1,1
"68","Myoxocephalus polyacanthocephalus",0,0,1,1
"69","Oligocottus rimensis",0,0,1,1
"70","Pallasina barbata",0,0,1,1
"71","Parophrys vetulus",0,0,1,1
"72","Pleuronichthys decurrens",0,0,1,1
"73","Podothecus accipenserinus",0,0,1,1
"74","Psettichthys melanostictus",0,0,1,1
"75","Ptilichthys goodei",0,0,1,1
"76","Rhinogobiops nicholsii",0,0,1,1
"77","Rimicola muscarum",0,0,1,1
"78","Sardinops sagax",0,0,1,1
"79","Sebastes flavidus",0,0,1,1
"80","Sebastes maliger",0,0,1,1
"81","Sebastes melanops",0,0,1,1
"82","Sebastes miniatus",0,0,1,1
"83","Sebastes pinniger",0,0,1,1
"84","Xiphister mucosus",0,0,1,1
"85","Ammodytes marinus",1,0,0,0
"86","Ammodytes personatus",1,1,1,0
"87","Amphistichus argenteus",1,0,0,0
"88","Anarrhichthys ocellatus",1,1,1,0
"89","Anoplopoma fimbria",1,1,1,0
"90","Atheresthes evermanni",1,0,1,0
"91","Brosmophycis marginata",1,0,1,0
"92","Bryozoichthys lysimus",1,0,1,0
"93","Clinocottus globiceps",1,0,1,0
"94","Clupea harengus",1,1,1,0
"95","Cottus cognatus",1,0,1,0
"96","Cottus dzungaricus",1,1,0,0
"97","Cottus hangiongensis",1,1,0,0
"98","Cryptacanthodes giganteus",1,0,1,0
"99","Eopsetta jordani",1,0,1,0
"100","Eumesogrammus praecisus",1,0,1,0
"101","Gadus morhua",1,1,1,0
"102","Gasterosteus aculeatus microcephalus",1,0,0,0
"103","Glyptocephalus zachirus",1,0,1,0
"104","Hemilepidotus gilberti",1,1,1,0
"105","Hemilepidotus spinosus",1,0,1,0
"106","Hexagrammos agrammus",1,1,0,0
"107","Hexagrammos otakii",1,1,0,0
"108","Hippoglossoides platessoides",1,0,0,0
"109","Hippoglossus hippoglossus",1,1,0,0
"110","Hozukius emblemarius",1,0,0,0
"111","Hydrolagus colliei",1,0,1,0
"112","Icelinus borealis",1,0,1,0
"113","Icichthys lockingtoni",1,0,1,0
"114","Icosteus aenigmaticus",1,0,1,0
"115","Isopsetta isolepis",1,0,1,0
"116","Leptoclinus maculatus",1,1,1,0
"117","Liparis florae",1,0,1,0
"118","Liparis fucensis",1,0,1,0
"119","Liparis pulchellus",1,0,1,0
"120","Lyopsetta exilis",1,0,1,0
"121","Merluccius productus",1,0,1,0
"122","Microstomus pacificus",1,0,1,0
"123","Mola sp. B",1,0,0,0
"124","Myoxocephalus jaok",1,0,1,0
