seed_asv_reads	description	accession	identity_percentage	evalue	bitscore
ASV149_18259	No Results
ASV280_5957	Uncultured bacterium clone A11_BICF21 16S ribosomal RNA gene, partial sequence	JN813660	97.66	6.84077e-119	238.0
ASV280_5957	Uncultured marine bacterium clone DLPY14 16S ribosomal RNA gene, partial sequence	JX495022	97.27	3.1827e-117	235.0
ASV280_5957	Uncultured bacterium clone C6_BICF21 16S ribosomal RNA gene, partial sequence	JN813677	97.28	3.1827e-117	235.0
ASV280_5957	Uncultured bacterium clone Mus-67 16S ribosomal RNA gene, partial sequence	JN858952	95.70	1.49128e-110	223.0
ASV280_5957	Uncultured bacterium clone wt4-4 16S ribosomal RNA gene, partial sequence	JN639323	95.70	1.49128e-110	223.0
ASV280_5957	Uncultured bacterium clone EzyYy293 16S ribosomal RNA gene, partial sequence	KX172465	94.92	3.22806e-107	217.0
ASV280_5957	uncultured Parcubacteria group bacterium DNA containing 16S-23S intergenic spacer region, clone 43 >gi|2237333726|emb|OW749291.1| uncultured Parcubacteria group bacterium DNA containing 16S-23S intergenic spacer region, clone 43	OW539139	95.51	1.94279e-104	212.0
ASV280_5957	Uncultured candidate division OD1 bacterium 16S rRNA gene, clone HG310	FN646724	94.14	6.98751e-104	211.0
ASV280_5957	Uncultured bacterium clone OTU47109_AL242_58928 16S ribosomal RNA gene, partial sequence	KP930676	94.69	4.2054e-101	206.0
ASV280_5957	Uncultured bacterium clone wt3-31 16S ribosomal RNA gene, partial sequence	JN639313	92.97	7.03712e-99	202.0
ASV280_5957	Uncultured bacterium clone CP_Otu3834 16S ribosomal RNA gene, partial sequence	KY278974	93.88	9.10309e-98	200.0
ASV280_5957	Uncultured bacterium clone OTU143344_AL242_68686 16S ribosomal RNA gene, partial sequence	KP920932	92.83	5.51755e-90	186.0
ASV280_5957	Uncultured bacterium clone AT18OctE3 16S ribosomal RNA gene, partial sequence	AY862757	90.62	7.1374e-89	184.0
ASV283_5935	Uncultured bacterium clone OTU_5808 16S ribosomal RNA gene, partial sequence	MH529456	99.60	1.44006e-125	250.0
ASV283_5935	Uncultured bacterium clone OTU_5787 16S ribosomal RNA gene, partial sequence	MH529435	98.42	1.45028e-120	241.0
ASV283_5935	Uncultured bacterium clone W031c1_13649 16S ribosomal RNA gene, partial sequence	JQ384130	98.42	1.45028e-120	241.0
