#Query ID	#Subject	#Subject accession	#Subject Taxonomy ID	#Identity percentage	#Coverage	#evalue	#bitscore	#Source	#Taxonomy
ASV1	Clupea pallasii CBM:ZF:20436 mitochondrial gene for 12S rRNA, partial sequence	LC552350	30724	100.000	100	8.90e-83	318	Genbank	Eukaryota / Chordata / Actinopteri / Clupeiformes / Clupeidae / Clupea / Clupea pallasii
ASV1	Clupea pallasii mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: UW:151385	LC091582	30724	100.000	100	8.90e-83	318	Genbank	Eukaryota / Chordata / Actinopteri / Clupeiformes / Clupeidae / Clupea / Clupea pallasii
ASV1	Clupea pallasii mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: UW:112517	LC091581	30724	100.000	100	8.90e-83	318	Genbank	Eukaryota / Chordata / Actinopteri / Clupeiformes / Clupeidae / Clupea / Clupea pallasii
ASV1	Clupea pallasii mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: UW:049684	LC091580	30724	100.000	100	8.90e-83	318	Genbank	Eukaryota / Chordata / Actinopteri / Clupeiformes / Clupeidae / Clupea / Clupea pallasii
ASV1	Clupea pallasii mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: HUMZ:192191	LC020932	30724	100.000	100	8.90e-83	318	Genbank	Eukaryota / Chordata / Actinopteri / Clupeiformes / Clupeidae / Clupea / Clupea pallasii
ASV1	Clupea pallasii mitochondrial DNA, complete genome	AP009134	30724	100.000	100	8.90e-83	318	Genbank	Eukaryota / Chordata / Actinopteri / Clupeiformes / Clupeidae / Clupea / Clupea pallasii
ASV1	Clupea harengus mitochondrion, complete genome	MN122931	7950	99.419	100	4.14e-81	313	Genbank	Eukaryota / Chordata / Actinopteri / Clupeiformes / Clupeidae / Clupea / Clupea harengus
ASV1	Clupea harengus isolate SF77 12S ribosomal RNA gene, partial sequence; mitochondrial	MH194498	7950	99.419	100	4.14e-81	313	Genbank	Eukaryota / Chordata / Actinopteri / Clupeiformes / Clupeidae / Clupea / Clupea harengus
ASV1	Clupea pallasii mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: UW:048004	LC091579	30724	99.419	100	4.14e-81	313	Genbank	Eukaryota / Chordata / Actinopteri / Clupeiformes / Clupeidae / Clupea / Clupea pallasii
ASV1	Sprattus sprattus isolate SEA0267 small subunit ribosomal RNA gene, partial sequence; mitochondrial	MW818344	196075	99.419	100	4.14e-81	313	Genbank	Eukaryota / Chordata / Actinopteri / Clupeiformes / Clupeidae / Sprattus / Sprattus sprattus
ASV2	Cymatogaster aggregata mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: UW:111773	LC104608	50794	100.000	100	1.45e-80	311	Genbank	Eukaryota / Chordata / Actinopteri / unknown order / Embiotocidae / Cymatogaster / Cymatogaster aggregata
ASV2	Cymatogaster aggregata mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: UW:155003	LC091978	50794	100.000	100	1.45e-80	311	Genbank	Eukaryota / Chordata / Actinopteri / unknown order / Embiotocidae / Cymatogaster / Cymatogaster aggregata
ASV2	Cymatogaster aggregata mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: UW:111769	LC091977	50794	100.000	100	1.45e-80	311	Genbank	Eukaryota / Chordata / Actinopteri / unknown order / Embiotocidae / Cymatogaster / Cymatogaster aggregata
ASV2	Cymatogaster aggregata voucher NMV A22828a 12S ribosomal RNA gene, partial sequence; mitochondrial	FJ616394	50794	100.000	100	1.45e-80	311	Genbank	Eukaryota / Chordata / Actinopteri / unknown order / Embiotocidae / Cymatogaster / Cymatogaster aggregata
ASV2	Cymatogaster aggregata mitochondrial DNA, complete genome	AP009128	50794	100.000	100	1.45e-80	311	Genbank	Eukaryota / Chordata / Actinopteri / unknown order / Embiotocidae / Cymatogaster / Cymatogaster aggregata
ASV3	Gasterosteus aculeatus isolate DM180 mitochondrion, partial genome	MN122917	69293	100.000	100	4.05e-81	313	Genbank	Eukaryota / Chordata / Actinopteri / Perciformes / Gasterosteidae / Gasterosteus / Gasterosteus aculeatus
ASV3	Gasterosteus aculeatus mitochondrion, complete genome	NC_041244	69293	100.000	100	4.05e-81	313	Genbank	Eukaryota / Chordata / Actinopteri / Perciformes / Gasterosteidae / Gasterosteus / Gasterosteus aculeatus
ASV3	Gasterosteus aculeatus mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: UW:151197	LC091881	69293	100.000	100	4.05e-81	313	Genbank	Eukaryota / Chordata / Actinopteri / Perciformes / Gasterosteidae / Gasterosteus / Gasterosteus aculeatus
ASV3	Gasterosteus aculeatus isolate F19-429 mitochondrion, complete genome	MW856891	69293	100.000	100	4.05e-81	313	Genbank	Eukaryota / Chordata / Actinopteri / Perciformes / Gasterosteidae / Gasterosteus / Gasterosteus aculeatus
ASV3	Gasterosteus aculeatus isolate F19-428 mitochondrion, complete genome	MW856890	69293	100.000	100	4.05e-81	313	Genbank	Eukaryota / Chordata / Actinopteri / Perciformes / Gasterosteidae / Gasterosteus / Gasterosteus aculeatus
ASV3	Gasterosteus aculeatus microcephalus BLM0002 mitochondrial gene for 12S rRNA, partial sequence	LC533126	481460	98.225	100	4.08e-76	296	Genbank	Eukaryota / Chordata / Actinopteri / Perciformes / Gasterosteidae / Gasterosteus / Gasterosteus aculeatus microcephalus
